x [mm];y [mm];z-displacement [mm]
-229.843;151.98;0
-228.356;151.98;0
-226.87;151.98;0
-225.383;151.98;0
-223.897;151.98;0
-222.41;151.98;0
-220.924;151.98;0
-219.437;151.98;0
-217.951;151.98;0
-216.464;151.98;0
-214.978;151.98;0
-213.491;151.98;0
-212.005;151.98;0
-210.518;151.98;0
-209.032;151.98;0
-207.545;151.98;0
-206.059;151.98;0
-204.572;151.98;0
-203.086;151.98;0
-201.599;151.98;0
-200.113;151.98;0
-198.626;151.98;0
-197.14;151.98;0
-195.653;151.98;0
-194.167;151.98;0
-192.68;151.98;0
-191.194;151.98;0
-189.707;151.98;0
-188.221;151.98;0
-186.734;151.98;0
-185.248;151.98;0
-183.761;151.98;0
-182.275;151.98;0
-180.788;151.98;0
-179.302;151.98;0
-177.815;151.98;0
-176.329;151.98;0
-174.842;151.98;0
-173.356;151.98;0
-171.869;151.98;0
-170.383;151.98;0
-168.896;151.98;0
-167.41;151.98;0
-165.923;151.98;0
-164.437;151.98;0
-162.95;151.98;0
-161.464;151.98;0
-159.977;151.98;0
-158.491;151.98;0
-157.004;151.98;0
-155.517;151.98;0
-154.031;151.98;0
-152.544;151.98;0
-151.058;151.98;0
-149.571;151.98;0
-148.085;151.98;0
-146.598;151.98;0
-145.112;151.98;0
-143.625;151.98;0
-142.139;151.98;0
-140.652;151.98;0
-139.166;151.98;0
-137.679;151.98;0
-136.193;151.98;0
-134.706;151.98;0
-133.22;151.98;0
-131.733;151.98;0
-130.247;151.98;0
-128.76;151.98;0
-127.274;151.98;0
-125.787;151.98;0
-124.301;151.98;0
-122.814;151.98;0
-121.328;151.98;0
-119.841;151.98;0
-118.355;151.98;0
-116.868;151.98;0
-115.382;151.98;0
-113.895;151.98;0
-112.409;151.98;0
-110.922;151.98;0
-109.436;151.98;0
-107.949;151.98;0
-106.463;151.98;0
-104.976;151.98;0
-103.49;151.98;0
-102.003;151.98;0
-100.517;151.98;0
-99.0301;151.98;0
-97.5436;151.98;0
-96.0571;151.98;0
-94.5706;151.98;0
-93.0841;151.98;0
-91.5976;151.98;0
-90.1111;151.98;0
-88.6245;151.98;0
-87.138;151.98;0
-85.6515;151.98;0
-84.165;151.98;0
-82.6785;151.98;0
-81.192;151.98;0
-79.7055;151.98;0
-78.219;151.98;0
-76.7325;151.98;0
-75.246;151.98;0
-73.7594;151.98;0
-72.2729;151.98;0
-70.7864;151.98;0
-69.2999;151.98;0
-67.8134;151.98;0
-66.3269;151.98;0
-64.8404;151.98;0
-63.3539;151.98;0
-61.8674;151.98;0
-60.3809;151.98;0
-58.8944;151.98;0
-57.4078;151.98;0
-55.9213;151.98;0
-54.4348;151.98;0
-52.9483;151.98;0
-51.4618;151.98;0
-49.9753;151.98;0
-48.4888;151.98;0
-47.0023;151.98;0
-45.5158;151.98;0
-44.0292;151.98;0
-42.5427;151.98;0
-41.0562;151.98;0
-39.5697;151.98;0
-38.0832;151.98;0
-36.5967;151.98;0
-35.1102;151.98;0
-33.6237;151.98;0
-32.1372;151.98;0
-30.6507;151.98;0
-29.1641;151.98;0
-27.6776;151.98;0
-26.1911;151.98;0
-24.7046;151.98;0
-23.2181;151.98;0
-21.7316;151.98;0
-20.2451;151.98;0
-18.7586;151.98;0
-17.2721;151.98;0
-15.7856;151.98;0
-14.299;151.98;0
-12.8125;151.98;0
-11.326;151.98;0
-9.83952;151.98;0
-8.35301;151.98;0
-6.8665;151.98;0
-5.37999;151.98;0
-3.89348;151.98;0
-2.40697;151.98;0
-0.92046;151.98;0
0.56605;151.98;0
2.05256;151.98;0
3.53907;151.98;0
5.02558;151.98;0
6.51209;151.98;0
7.9986;151.98;0
9.48511;151.98;0
10.9716;151.98;0
12.4581;151.98;0
13.9446;151.98;0
15.4312;151.98;0
16.9177;151.98;0
18.4042;151.98;0
19.8907;151.98;0
21.3772;151.98;0
22.8637;151.98;0
24.3502;151.98;0
25.8367;151.98;0
27.3232;151.98;0
28.8097;151.98;0
30.2963;151.98;0
31.7828;151.98;0
33.2693;151.98;0
34.7558;151.98;0
36.2423;151.98;0
37.7288;151.98;0
39.2153;151.98;0
40.7018;151.98;0
42.1883;151.98;0
43.6748;151.98;0
45.1613;151.98;0
46.6479;151.98;0
48.1344;151.98;0
49.6209;151.98;0
51.1074;151.98;0
52.5939;151.98;0
54.0804;151.98;0
55.5669;151.98;0
57.0534;151.98;0
58.5399;151.98;0
60.0264;151.98;0
61.513;151.98;0
62.9995;151.98;0
64.486;151.98;0
65.9725;151.98;0
67.459;151.98;0
68.9455;151.98;0
70.432;151.98;0
71.9185;151.98;0
73.405;151.98;0
74.8916;151.98;0
76.3781;151.98;0
77.8646;151.98;0
79.3511;151.98;0
80.8376;151.98;0
82.3241;151.98;0
83.8106;151.98;0
85.2971;151.98;0
86.7836;151.98;0
88.2701;151.98;0
89.7567;151.98;0
91.2432;151.98;0
92.7297;151.98;0
94.2162;151.98;0
95.7027;151.98;0
97.1892;151.98;0
98.6757;151.98;0
100.162;151.98;0
101.649;151.98;0
103.135;151.98;0
104.622;151.98;0
106.108;151.98;0
107.595;151.98;0
109.081;151.98;0
110.568;151.98;0
112.054;151.98;0
113.541;151.98;0
115.027;151.98;0
116.514;151.98;0
118;151.98;0
119.487;151.98;0
120.973;151.98;0
122.46;151.98;0
123.946;151.98;0
125.433;151.98;0
126.919;151.98;0
128.406;151.98;0
129.892;151.98;0
131.379;151.98;0
132.865;151.98;0
134.352;151.98;0
135.838;151.98;0
137.325;151.98;0
138.811;151.98;0
140.298;151.98;0
141.785;151.98;0
143.271;151.98;0
144.758;151.98;0
146.244;151.98;0
147.731;151.98;0
149.217;151.98;0
150.704;151.98;0
152.19;151.98;0
153.677;151.98;0
155.163;151.98;0
156.65;151.98;0
158.136;151.98;0
159.623;151.98;0
161.109;151.98;0
162.596;151.98;0
164.082;151.98;0
165.569;151.98;0
167.055;151.98;0
168.542;151.98;0
170.028;151.98;0
171.515;151.98;0
173.001;151.98;0
174.488;151.98;0
175.974;151.98;0
177.461;151.98;0
178.947;151.98;0
180.434;151.98;0
181.92;151.98;0
183.407;151.98;0
184.893;151.98;0
186.38;151.98;0
187.866;151.98;0
189.353;151.98;0
190.839;151.98;0
192.326;151.98;0
193.812;151.98;0
195.299;151.98;0
196.785;151.98;0
198.272;151.98;0
199.758;151.98;0
201.245;151.98;0
202.731;151.98;0
204.218;151.98;0
205.704;151.98;0
207.191;151.98;0
208.677;151.98;0
210.164;151.98;0
211.65;151.98;0
213.137;151.98;0
214.623;151.98;0
216.11;151.98;0
217.597;151.98;0
219.083;151.98;0
220.57;151.98;0
