x [mm];y [mm];z-displacement [mm]
277.816;-255.923;0
276.28;-255.923;0
274.745;-255.923;0
273.209;-255.923;0
271.674;-255.923;0
270.138;-255.923;0
268.603;-255.923;0
267.067;-255.923;0
265.532;-255.923;0
263.996;-255.923;0
262.461;-255.923;0
260.925;-255.923;0
259.39;-255.923;0
257.854;-255.923;0
256.319;-255.923;0
254.783;-255.923;0
253.248;-255.923;0
251.712;-255.923;0
250.177;-255.923;0
248.641;-255.923;0
247.106;-255.923;0
245.57;-255.923;0
244.035;-255.923;0
242.499;-255.923;0
240.964;-255.923;0
239.428;-255.923;0
237.893;-255.923;0
236.357;-255.923;0
234.822;-255.923;0
233.286;-255.923;0
231.751;-255.923;0
230.215;-255.923;0
228.68;-255.923;0
227.144;-255.923;0
225.609;-255.923;0
224.073;-255.923;0
222.538;-255.923;0
221.002;-255.923;0
219.467;-255.923;0
217.931;-255.923;0
216.396;-255.923;0
214.86;-255.923;0
213.325;-255.923;0
211.789;-255.923;0
210.254;-255.923;0
208.718;-255.923;0
207.183;-255.923;0
205.647;-255.923;0
204.112;-255.923;0
202.576;-255.923;0
201.041;-255.923;0
199.505;-255.923;0
197.97;-255.923;0
196.434;-255.923;0
194.899;-255.923;0
193.363;-255.923;0
191.828;-255.923;0
190.292;-255.923;0
188.757;-255.923;0
187.221;-255.923;0
185.686;-255.923;0
184.15;-255.923;0
182.615;-255.923;0
181.079;-255.923;0
179.544;-255.923;0
178.008;-255.923;0
176.473;-255.923;0
174.937;-255.923;0
173.402;-255.923;0
171.866;-255.923;0
170.331;-255.923;0
168.795;-255.923;0
167.26;-255.923;0
165.724;-255.923;0
164.189;-255.923;0
162.653;-255.923;0
161.118;-255.923;0
159.582;-255.923;0
158.047;-255.923;0
156.511;-255.923;0
154.976;-255.923;0
153.44;-255.923;0
151.905;-255.923;0
150.369;-255.923;0
148.834;-255.923;0
147.298;-255.923;0
145.763;-255.923;0
144.227;-255.923;0
142.692;-255.923;0
141.156;-255.923;0
139.621;-255.923;0
138.085;-255.923;0
136.55;-255.923;0
135.014;-255.923;0
133.479;-255.923;0
131.943;-255.923;0
130.408;-255.923;0
128.872;-255.923;0
127.337;-255.923;0
125.801;-255.923;0
124.266;-255.923;0
122.73;-255.923;0
121.195;-255.923;0
119.659;-255.923;0
118.124;-255.923;0
116.588;-255.923;0
115.053;-255.923;0
113.517;-255.923;0
111.982;-255.923;0
110.446;-255.923;0
108.911;-255.923;0
107.375;-255.923;0
105.84;-255.923;0
104.304;-255.923;0
102.769;-255.923;0
101.233;-255.923;0
99.698;-255.923;0
98.1625;-255.923;0
96.627;-255.923;0
95.0915;-255.923;0
93.556;-255.923;0
92.0205;-255.923;0
90.485;-255.923;0
88.9495;-255.923;0
87.414;-255.923;0
85.8785;-255.923;0
84.343;-255.923;0
82.8075;-255.923;0
81.272;-255.923;0
79.7365;-255.923;0
78.201;-255.923;0
76.6655;-255.923;0
75.13;-255.923;0
