x [mm];y [mm];z [mm];z-displacement [mm]
-258.841;143.523;0;0
-257.305;143.523;0;0
-255.77;143.523;0;0
-254.234;143.523;0;0
-252.699;143.523;0;0
-251.163;143.523;0;0
-249.628;143.523;0;0
-248.092;143.523;0;0
-246.557;143.523;0;0
-245.021;143.523;0;0
-243.486;143.523;0;0
-241.95;143.523;0;0
-240.415;143.523;0;0
-238.879;143.523;0;0
-237.344;143.523;0;0
-235.808;143.523;0;0
-234.273;143.523;0;0
-232.737;143.523;0;0
-231.202;143.523;0;0
-229.666;143.523;0;0
-228.131;143.523;0;0
-226.595;143.523;0;0
-225.06;143.523;0;0
-223.524;143.523;0;0
-221.989;143.523;0;0
-220.453;143.523;0;0
-218.918;143.523;0;0
-217.382;143.523;0;0
-215.847;143.523;0;0
-214.311;143.523;0;0
-212.776;143.523;0;0
-211.24;143.523;0;0
-209.705;143.523;0;0
-208.169;143.523;0;0
-206.634;143.523;0;0
-205.098;143.523;0;0
-203.563;143.523;0;0
-202.027;143.523;0;0
-200.492;143.523;0;0
-198.956;143.523;0;0
-197.421;143.523;0;0
-195.885;143.523;0;0
-194.35;143.523;0;0
-192.814;143.523;0;0
-191.279;143.523;0;0
-189.743;143.523;0;0
-188.208;143.523;0;0
-186.672;143.523;0;0
-185.137;143.523;0;0
-183.601;143.523;0;0
-182.066;143.523;0;0
-180.53;143.523;0;0
-178.995;143.523;0;0
-177.459;143.523;0;0
-175.924;143.523;0;0
-174.388;143.523;0;0
-172.853;143.523;0;0
-171.317;143.523;0;0
-169.782;143.523;0;0
-168.246;143.523;0;0
-166.711;143.523;0;0
-165.175;143.523;0;0
-163.64;143.523;0;0
-162.104;143.523;0;0
-160.569;143.523;0;0
-159.033;143.523;0;0
-157.498;143.523;0;0
-155.962;143.523;0;0
-154.427;143.523;0;0
-152.891;143.523;0;0
-151.356;143.523;0;0
-149.821;143.523;0;0
-148.285;143.523;0;0
-146.75;143.523;0;0
-145.214;143.523;0;0
-143.679;143.523;0;0
-142.143;143.523;0;0
-140.608;143.523;0;0
-139.072;143.523;0;0
-137.537;143.523;0;0
-136.001;143.523;0;0
-134.466;143.523;0;0
-132.93;143.523;0;0
-131.395;143.523;0;0
-129.859;143.523;0;0
-128.324;143.523;0;0
-126.788;143.523;0;0
-125.253;143.523;0;0
-123.717;143.523;0;0
-122.182;143.523;0;0
-120.646;143.523;0;0
-119.111;143.523;0;0
-117.575;143.523;0;0
-116.04;143.523;0;0
-114.504;143.523;0;0
-112.969;143.523;0;0
-111.433;143.523;0;0
-109.898;143.523;0;0
-108.362;143.523;0;0
-106.827;143.523;0;0
-105.291;143.523;0;0
-103.756;143.523;0;0
-102.22;143.523;0;0
-100.685;143.523;0;0
-99.149;143.523;0;0
-97.6135;143.523;0;0
-96.078;143.523;0;0
-94.5425;143.523;0;0
-93.007;143.523;0;0
-91.4715;143.523;0;0
-89.936;143.523;0;0
-88.4005;143.523;0;0
-86.865;143.523;0;0
-85.3295;143.523;0;0
-83.794;143.523;0;0
-82.2585;143.523;0;0
-80.723;143.523;0;0
-79.1875;143.523;0;0
-77.652;143.523;0;0
-76.1165;143.523;0;0
-74.581;143.523;0;0
-73.0456;143.523;0;0
-71.5101;143.523;0;0
-69.9746;143.523;0;0
-68.4391;143.523;0;0
-66.9036;143.523;0;0
-65.3681;143.523;0;0
-63.8326;143.523;0;0
-62.2971;143.523;0;0
