x [mm];y [mm];z-displacement [mm]
282.147;-273.917;0
280.64;-273.917;0
279.133;-273.917;0
277.626;-273.917;0
276.12;-273.917;0
274.613;-273.917;0
273.106;-273.917;0
271.599;-273.917;0
270.092;-273.917;0
268.585;-273.917;0
267.079;-273.917;0
265.572;-273.917;0
264.065;-273.917;0
262.558;-273.917;0
261.051;-273.917;0
259.544;-273.917;0
258.038;-273.917;0
256.531;-273.917;0
255.024;-273.917;0
253.517;-273.917;0
252.01;-273.917;0
250.503;-273.917;0
248.997;-273.917;0
247.49;-273.917;0
245.983;-273.917;0
244.476;-273.917;0
242.969;-273.917;0
241.462;-273.917;0
239.955;-273.917;0
238.449;-273.917;0
236.942;-273.917;0
235.435;-273.917;0
233.928;-273.917;0
232.421;-273.917;0
230.914;-273.917;0
229.408;-273.917;0
227.901;-273.917;0
226.394;-273.917;0
224.887;-273.917;0
223.38;-273.917;0
221.873;-273.917;0
220.367;-273.917;0
218.86;-273.917;0
217.353;-273.917;0
215.846;-273.917;0
214.339;-273.917;0
212.832;-273.917;0
211.326;-273.917;0
209.819;-273.917;0
208.312;-273.917;0
206.805;-273.917;0
205.298;-273.917;0
203.791;-273.917;0
202.284;-273.917;0
200.778;-273.917;0
199.271;-273.917;0
197.764;-273.917;0
196.257;-273.917;0
194.75;-273.917;0
193.243;-273.917;0
191.737;-273.917;0
190.23;-273.917;0
188.723;-273.917;0
187.216;-273.917;0
185.709;-273.917;0
184.202;-273.917;0
182.696;-273.917;0
181.189;-273.917;0
179.682;-273.917;0
178.175;-273.917;0
176.668;-273.917;0
175.161;-273.917;0
173.655;-273.917;0
172.148;-273.917;0
170.641;-273.917;0
169.134;-273.917;0
167.627;-273.917;0
166.12;-273.917;0
164.613;-273.917;0
163.107;-273.917;0
161.6;-273.917;0
160.093;-273.917;0
158.586;-273.917;0
157.079;-273.917;0
155.572;-273.917;0
154.066;-273.917;0
152.559;-273.917;0
151.052;-273.917;0
149.545;-273.917;0
148.038;-273.917;0
146.531;-273.917;0
145.025;-273.917;0
143.518;-273.917;0
142.011;-273.917;0
140.504;-273.917;0
138.997;-273.917;0
137.49;-273.917;0
135.984;-273.917;0
134.477;-273.917;0
132.97;-273.917;0
131.463;-273.917;0
129.956;-273.917;0
128.449;-273.917;0
126.942;-273.917;0
125.436;-273.917;0
123.929;-273.917;0
122.422;-273.917;0
120.915;-273.917;0
119.408;-273.917;0
117.901;-273.917;0
116.395;-273.917;0
114.888;-273.917;0
113.381;-273.917;0
111.874;-273.917;0
110.367;-273.917;0
108.86;-273.917;0
107.354;-273.917;0
105.847;-273.917;0
104.34;-273.917;0
102.833;-273.917;0
101.326;-273.917;0
99.8194;-273.917;0
98.3125;-273.917;0
96.8057;-273.917;0
95.2988;-273.917;0
93.792;-273.917;0
92.2852;-273.917;0
90.7783;-273.917;0
89.2715;-273.917;0
87.7646;-273.917;0
86.2578;-273.917;0
84.751;-273.917;0
83.2441;-273.917;0
81.7373;-273.917;0
80.2304;-273.917;0
78.7236;-273.917;0
77.2168;-273.917;0
75.7099;-273.917;0
74.2031;-273.917;0
72.6962;-273.917;0
71.1894;-273.917;0
69.6826;-273.917;0
68.1757;-273.917;0
66.6689;-273.917;0
65.162;-273.917;0
63.6552;-273.917;0
62.1484;-273.917;0
60.6415;-273.917;0
59.1347;-273.917;0
57.6278;-273.917;0
56.121;-273.917;0
54.6142;-273.917;0
53.1073;-273.917;0
51.6005;-273.917;0
50.0936;-273.917;0
48.5868;-273.917;0
47.08;-273.917;0
45.5731;-273.917;0
44.0663;-273.917;0
42.5594;-273.917;0
41.0526;-273.917;0
39.5458;-273.917;0
38.0389;-273.917;0
36.5321;-273.917;0
35.0252;-273.917;0
33.5184;-273.917;0
32.0116;-273.917;0
30.5047;-273.917;0
28.9979;-273.917;0
27.491;-273.917;0
25.9842;-273.917;0
24.4774;-273.917;0
22.9705;-273.917;0
21.4637;-273.917;0
19.9568;-273.917;0
18.45;-273.917;0
16.9432;-273.917;0
15.4363;-273.917;0
13.9295;-273.917;0
12.4226;-273.917;0
10.9158;-273.917;0
9.40896;-273.917;0
7.90212;-273.917;0
6.39528;-273.917;0
4.88844;-273.917;0
3.3816;-273.917;0
1.87476;-273.917;0
0.36792;-273.917;0
-1.13892;-273.917;0
-2.64576;-273.917;0
-4.1526;-273.917;0
-5.65944;-273.917;0
-7.16628;-273.917;0
-8.67312;-273.917;0
-10.18;-273.917;0
-11.6868;-273.917;0
-13.1936;-273.917;0
-14.7005;-273.917;0
-16.2073;-273.917;0
-17.7142;-273.917;0
-19.221;-273.917;0
-20.7278;-273.917;0
-22.2347;-273.917;0
-23.7415;-273.917;0
-25.2484;-273.917;0
-26.7552;-273.917;0
-28.262;-273.917;0
-29.7689;-273.917;0
-31.2757;-273.917;0
-32.7826;-273.917;0
-34.2894;-273.917;0
-35.7962;-273.917;0
-37.3031;-273.917;0
-38.8099;-273.917;0
-40.3168;-273.917;0
-41.8236;-273.917;0
-43.3304;-273.917;0
-44.8373;-273.917;0
-46.3441;-273.917;0
-47.851;-273.917;0
-49.3578;-273.917;0
-50.8646;-273.917;0
-52.3715;-273.917;0
-53.8783;-273.917;0
-55.3852;-273.917;0
-56.892;-273.917;0
-58.3988;-273.917;0
-59.9057;-273.917;0
-61.4125;-273.917;0
-62.9194;-273.917;0
-64.4262;-273.917;0
-65.933;-273.917;0
-67.4399;-273.917;0
-68.9467;-273.917;0
-70.4536;-273.917;0
-71.9604;-273.917;0
-73.4672;-273.917;0
-74.9741;-273.917;0
-76.4809;-273.917;0
-77.9878;-273.917;0
-79.4946;-273.917;0
-81.0014;-273.917;0
-82.5083;-273.917;0
-84.0151;-273.917;0
-85.522;-273.917;0
-87.0288;-273.917;0
-88.5356;-273.917;0
-90.0425;-273.917;0
-91.5493;-273.917;0
-93.0562;-273.917;0
-94.563;-273.917;0
-96.0698;-273.917;0
-97.5767;-273.917;0
-99.0835;-273.917;0
-100.59;-273.917;0
-102.097;-273.917;0
-103.604;-273.917;0
-105.111;-273.917;0
-106.618;-273.917;0
-108.125;-273.917;0
-109.631;-273.917;0
-111.138;-273.917;0
-112.645;-273.917;0
-114.152;-273.917;0
-115.659;-273.917;0
-117.166;-273.917;0
-118.672;-273.917;0
-120.179;-273.917;0
-121.686;-273.917;0
-123.193;-273.917;0
-124.7;-273.917;0
-126.207;-273.917;0
-127.713;-273.917;0
-129.22;-273.917;0
-130.727;-273.917;0
-132.234;-273.917;0
-133.741;-273.917;0
-135.248;-273.917;0
-136.755;-273.917;0
-138.261;-273.917;0
-139.768;-273.917;0
-141.275;-273.917;0
-142.782;-273.917;0
-144.289;-273.917;0
-145.796;-273.917;0
-147.302;-273.917;0
-148.809;-273.917;0
-150.316;-273.917;0
-151.823;-273.917;0
-153.33;-273.917;0
-154.837;-273.917;0
-156.343;-273.917;0
-157.85;-273.917;0
-159.357;-273.917;0
-160.864;-273.917;0
-162.371;-273.917;0
-163.878;-273.917;0
-165.384;-273.917;0
-166.891;-273.917;0
-168.398;-273.917;0
-169.905;-273.917;0
-171.412;-273.917;0
-172.919;-273.917;0
-174.426;-273.917;0
-175.932;-273.917;0
-177.439;-273.917;0
-178.946;-273.917;0
-180.453;-273.917;0
-181.96;-273.917;0
-183.467;-273.917;0
-184.973;-273.917;0
-186.48;-273.917;0
-187.987;-273.917;0
-189.494;-273.917;0
-191.001;-273.917;0
-192.508;-273.917;0
-194.014;-273.917;0
-195.521;-273.917;0
-197.028;-273.917;0
-198.535;-273.917;0
-200.042;-273.917;0
-201.549;-273.917;0
-203.055;-273.917;0
-204.562;-273.917;0
-206.069;-273.917;0
-207.576;-273.917;0
-209.083;-273.917;0
-210.59;-273.917;0
-212.097;-273.917;0
-213.603;-273.917;0
-215.11;-273.917;0
-216.617;-273.917;0
-218.124;-273.917;0
-219.631;-273.917;0
-221.138;-273.917;0
-222.644;-273.917;0
-224.151;-273.917;0
-225.658;-273.917;0
-227.165;-273.917;0
-228.672;-273.917;0
-230.179;-273.917;0
-231.685;-273.917;0
-233.192;-273.917;0
-234.699;-273.917;0
-236.206;-273.917;0
-237.713;-273.917;0
-239.22;-273.917;0
-240.726;-273.917;0
-242.233;-273.917;0
-243.74;-273.917;0
-245.247;-273.917;0
-246.754;-273.917;0
-248.261;-273.917;0
-249.768;-273.917;0
-251.274;-273.917;0
-252.781;-273.917;0
-254.288;-273.917;0
-255.795;-273.917;0
-257.302;-273.917;0
-258.809;-273.917;0
-260.315;-273.917;0
-261.822;-273.917;0
-263.329;-273.917;0
-264.836;-273.917;0
-266.343;-273.917;0
-267.85;-273.917;0
-269.356;-273.917;0
-270.863;-273.917;0
-272.37;-273.917;0
-273.877;-273.917;0
-275.384;-273.917;0
-276.891;-273.917;0
-278.397;-273.917;0
-279.904;-273.917;0
-281.411;-273.917;0
-282.918;-273.917;0
-284.425;-273.917;0
-285.932;-273.917;0
-287.439;-273.917;0
-288.945;-273.917;0
-290.452;-273.917;0
282.147;-272.41;0
280.64;-272.41;0
279.133;-272.41;0
277.626;-272.41;0
276.12;-272.41;0
274.613;-272.41;0
273.106;-272.41;0
271.599;-272.41;0
270.092;-272.41;0
268.585;-272.41;0
267.079;-272.41;0
265.572;-272.41;0
264.065;-272.41;0
262.558;-272.41;0
261.051;-272.41;0
259.544;-272.41;0
258.038;-272.41;0
256.531;-272.41;0
255.024;-272.41;0
253.517;-272.41;0
252.01;-272.41;0
250.503;-272.41;0
248.997;-272.41;0
247.49;-272.41;0
245.983;-272.41;0
244.476;-272.41;0
242.969;-272.41;0
241.462;-272.41;0
239.955;-272.41;0
238.449;-272.41;0
236.942;-272.41;0
235.435;-272.41;0
233.928;-272.41;0
232.421;-272.41;0
230.914;-272.41;0
229.408;-272.41;0
227.901;-272.41;0
226.394;-272.41;0
224.887;-272.41;0
223.38;-272.41;0
221.873;-272.41;0
220.367;-272.41;0
218.86;-272.41;0
217.353;-272.41;0
215.846;-272.41;0
214.339;-272.41;0
212.832;-272.41;0
211.326;-272.41;0
209.819;-272.41;0
208.312;-272.41;0
206.805;-272.41;0
205.298;-272.41;0
203.791;-272.41;0
202.284;-272.41;0
200.778;-272.41;0
199.271;-272.41;0
197.764;-272.41;0
196.257;-272.41;0
194.75;-272.41;0
193.243;-272.41;0
191.737;-272.41;0
190.23;-272.41;0
188.723;-272.41;0
187.216;-272.41;0
185.709;-272.41;0
184.202;-272.41;0
182.696;-272.41;0
181.189;-272.41;0
179.682;-272.41;0
178.175;-272.41;0
176.668;-272.41;0
175.161;-272.41;0
173.655;-272.41;0
172.148;-272.41;0
