x [mm];y [mm];z-displacement [mm]
283.727;-275.7;0
282.291;-275.7;0
280.856;-275.7;0
279.42;-275.7;0
277.985;-275.7;0
276.549;-275.7;0
275.114;-275.7;0
273.678;-275.7;0
272.243;-275.7;0
270.808;-275.7;0
269.372;-275.7;0
267.936;-275.7;0
266.501;-275.7;0
265.065;-275.7;0
263.63;-275.7;0
262.194;-275.7;0
260.759;-275.7;0
259.323;-275.7;0
257.888;-275.7;0
256.452;-275.7;0
255.017;-275.7;0
253.581;-275.7;0
252.146;-275.7;0
250.71;-275.7;0
249.275;-275.7;0
247.839;-275.7;0
246.404;-275.7;0
244.968;-275.7;0
243.533;-275.7;0
242.097;-275.7;0
240.662;-275.7;0
239.226;-275.7;0
237.791;-275.7;0
236.355;-275.7;0
234.92;-275.7;0
233.484;-275.7;0
232.049;-275.7;0
230.613;-275.7;0
229.178;-275.7;0
227.742;-275.7;0
226.307;-275.7;0
224.871;-275.7;0
223.436;-275.7;0
222;-275.7;0
220.565;-275.7;0
219.129;-275.7;0
217.694;-275.7;0
216.258;-275.7;0
214.823;-275.7;0
213.387;-275.7;0
211.952;-275.7;0
210.516;-275.7;0
209.081;-275.7;0
207.645;-275.7;0
206.21;-275.7;0
204.774;-275.7;0
203.339;-275.7;0
201.903;-275.7;0
200.468;-275.7;0
199.032;-275.7;0
197.597;-275.7;0
196.161;-275.7;0
194.726;-275.7;0
193.29;-275.7;0
191.855;-275.7;0
190.419;-275.7;0
188.984;-275.7;0
187.548;-275.7;0
186.113;-275.7;0
184.677;-275.7;0
183.242;-275.7;0
181.806;-275.7;0
180.371;-275.7;0
178.935;-275.7;0
177.5;-275.7;0
176.064;-275.7;0
174.629;-275.7;0
173.193;-275.7;0
171.758;-275.7;0
170.322;-275.7;0
168.887;-275.7;0
167.451;-275.7;0
166.016;-275.7;0
164.58;-275.7;0
163.145;-275.7;0
161.709;-275.7;0
160.274;-275.7;0
158.838;-275.7;0
157.403;-275.7;0
155.967;-275.7;0
