Time,Force_Node1
0,244.78
0.1,243.6
0.2,243.69
0.3,242.86
0.4,243.2
0.5,243.4
0.6,242.41
0.7,241.59
0.8,241.21
0.9,240.19
1,239.98
1.1,239.18
1.2,238.36
1.3,238.54
1.4,238.68
1.5,238.28
1.6,238.54
1.7,238.82
1.8,238.33
1.9,238.41
2,238.23
2.1,238.05
2.2,237.04
2.3,237.12
2.4,236.63
2.5,236.03
2.6,235.8
2.7,235.52
2.8,235.4
2.9,235.22
3,235.1
3.1,235.2
3.2,234.81
3.3,234.94
3.4,235.33
3.5,234.67
3.6,234.92
3.7,234.65
3.8,234.04
3.9,234.39
4,233.79
4.1,233.77
4.2,233.77
4.3,233.16
4.4,233.66
4.5,233.23
4.6,233.02
4.7,233.3
4.8,232.84
4.9,233.11
5,232.87
5.1,232.82
5.2,232.22
5.3,231.9
5.4,232.3
5.5,232.13
5.6,231.91
5.7,232.54
5.8,232.18
5.9,232.24
6,232.04
6.1,231.86
6.2,231.51
6.3,231.46
6.4,231.76
6.5,231.36
6.6,231.41
6.7,231.98
6.8,231.86
6.9,232
7,231.85
7.1,231.8
7.2,232.16
7.3,232.25
7.4,231.07
7.5,230.97
7.6,230.36
7.7,230.12
7.8,230.52
7.9,229.84
8,230
8.1,230.18
8.2,230.34
8.3,231.43
8.4,230.85
8.5,231.16
8.6,231.27
8.7,230.76
8.8,231.65
8.9,231.06
9,230.52
9.1,230.86
9.2,230.02
9.3,230.04
9.4,229.91
9.5,229.49
9.6,229.93
9.7,229.96
9.8,229.83
9.9,230.08
10,229.77
10.1,229.71
10.2,230.21
10.3,229.59
10.4,229.59
10.5,230.26
10.6,228.27
10.7,228.52
10.8,228.87
10.9,229.24
11,229.23
11.1,229.77
11.2,229.3
11.3,228.5
11.4,228.76
11.5,228.64
11.6,227.61
11.7,228.13
11.8,228.77
11.9,228.96
12,229.59
12.1,229.49
12.2,229.01
12.3,228.79
12.4,228.11
12.5,227.96
12.6,227.46
12.7,227.74
12.8,227.28
12.9,227.7
13,227.6
13.1,227.32
13.2,227.61
13.3,227.15
13.4,226.67
13.5,227.68
13.6,227.82
13.7,227.47
13.8,228.1
13.9,227.33
14,227.7
14.1,227.92
14.2,227.47
14.3,227.19
14.4,227.68
14.5,228.23
14.6,228.62
14.7,227.65
14.8,228.09
14.9,227.6
15,227.73
15.1,227.07
15.2,226.52
15.3,227.37
15.4,227.02
15.5,226.58
15.6,227.41
15.7,226.89
15.8,227.64
15.9,227.52
16,227.03
16.1,227.72
16.2,226.98
16.3,226.68
16.4,226.6
16.5,226.48
16.6,227.13
16.7,227.07
16.8,226.71
16.9,226.35
17,226.72
17.1,227.21
17.2,227.14
17.3,226.97
17.4,227.02
17.5,226.65
17.6,226.45
17.7,225.97
17.8,225.59
17.9,225.98
18,225.43
18.1,225.63
18.2,226.87
18.3,225.81
18.4,226.22
18.5,226.64
18.6,226.19
18.7,226.56
18.8,226.04
18.9,226.49
19,227.03
19.1,225.82
19.2,226.58
19.3,226.5
19.4,226.02
19.5,226.29
19.6,225.31
19.7,225.51
19.8,226.24
19.9,225.57
20,225.98
20.1,226.26
20.2,226.41
20.3,226.14
20.4,225.93
20.5,226.21
20.6,226.35
20.7,225.97
20.8,225.98
20.9,225.94
21,225.56
21.1,224.89
21.2,224.71
21.3,224.9
21.4,224.79
21.5,224.52
21.6,225.12
21.7,224.8
21.8,225.43
21.9,225.28
22,225.45
22.1,225.47
22.2,225.51
22.3,225.44
22.4,225.52
22.5,225.22
22.6,225.07
22.7,224.64
22.8,225.14
22.9,226.19
23,225.49
23.1,225.1
23.2,225.15
23.3,224.77
23.4,225.14
23.5,225.02
23.6,225.08
23.7,224.41
23.8,224.71
23.9,224.66
24,224.1
24.1,224.8
24.2,224.85
24.3,224.76
24.4,224.95
24.5,224.24
24.6,223.93
24.7,224.04
24.8,223.41
24.9,223.99
25,223.9
25.1,224.18
25.2,224.89
25.3,224.46
25.4,224.71
25.5,225.03
25.6,224.87
25.7,225.1
25.8,225.02
25.9,224.7
26,224.69
26.1,224.28
26.2,224.15
26.3,223.74
26.4,224.26
26.5,223.84
26.6,224.11
26.7,224.69
26.8,224.32
26.9,224.59
27,224.58
27.1,224.32
27.2,224.76
27.3,224.45
27.4,224.43
27.5,224.56
27.6,224.07
27.7,224.23
27.8,223.87
27.9,223.26
28,223.14
28.1,223.08
28.2,223.51
28.3,223.49
28.4,223.52
28.5,223.81
28.6,223.66
28.7,223.88
28.8,224.25
28.9,223.68
29,223.45
29.1,225.25
29.2,223.41
29.3,222.8
29.4,224.35
29.5,223.09
29.6,223.29
29.7,223.79
29.8,223.28
29.9,223.39
30,222.92
30.1,223.31
30.2,224.1
30.3,224.2
30.4,223.37
30.5,223.29
30.6,222.73
30.7,222.52
30.8,222.79
30.9,223.15
31,222.97
31.1,223.08
31.2,223.22
31.3,223.13
31.4,223.29
31.5,222.76
31.6,222.61
31.7,223.07
31.8,222.64
31.9,223.31
32,223.72
32.1,223.03
32.2,223.19
32.3,222.97
32.4,222.98
32.5,223.48
32.6,222.61
32.7,222.77
32.8,223.03
32.9,222.59
33,223.56
33.1,222.89
33.2,222.55
33.3,223.07
33.4,223.46
33.5,223.26
33.6,223.03
33.7,223.83
33.8,223.37
33.9,223.67
34,223.72
34.1,223.31
34.2,222.9
34.3,222.71
34.4,223.18
34.5,223.42
34.6,222.61
34.7,222.97
34.8,223.69
34.9,222.63
35,222.89
35.1,223.3
35.2,222.37
35.3,222.43
35.4,222.37
35.5,222.55
35.6,222.5
35.7,222.71
35.8,223.06
35.9,222.78
36,222.47
36.1,222.06
36.2,221.38
36.3,221.99
36.4,222.15
36.5,221.48
36.6,222.79
36.7,221.5
36.8,221.41
36.9,222.26
37,221.14
37.1,221.32
37.2,221.77
37.3,221.61
37.4,221.14
37.5,221.57
37.6,221.56
37.7,221.32
37.8,221.48
37.9,221.82
38,221.42
38.1,221.44
38.2,221.36
38.3,221.56
38.4,221.5
38.5,221.13
38.6,221.76
38.7,222.58
38.8,221.68
38.9,222.4
39,222.65
39.1,221.3
39.2,222.11
39.3,221.45
39.4,221.15
39.5,221.78
39.6,221.44
39.7,221.54
39.8,222.41
39.9,221.98
40,222.66
40.1,222.45
40.2,222.28
40.3,222.69
40.4,222.3
40.5,222.48
40.6,222.58
40.7,222.01
40.8,222.64
40.9,221.79
41,222.12
41.1,222.32
41.2,221.7
41.3,221.51
41.4,222.3
41.5,221.75
41.6,222.05
41.7,222.18
41.8,221.64
41.9,221.85
42,221.91
42.1,222.3
42.2,221.83
42.3,222.09
42.4,221.98
42.5,221.33
42.6,221.85
42.7,221.92
42.8,221.71
42.9,222.66
43,221.78
43.1,221.62
43.2,222.2
43.3,221.19
43.4,221.56
43.5,221.76
43.6,221.66
43.7,222.01
43.8,221.73
43.9,222.14
44,222.03
44.1,221.64
44.2,222.26
44.3,221.29
44.4,221.4
44.5,221.14
44.6,220.31
44.7,221.24
44.8,221.2
44.9,220.67
45,222.32
45.1,221.52
45.2,221.38
45.3,221.93
45.4,220.99
45.5,221.69
45.6,221.42
45.7,221.17
45.8,221.66
45.9,221.26
46,221.22
46.1,221.75
46.2,220.53
46.3,221.05
46.4,220.63
46.5,220.84
46.6,221.79
46.7,221.35
46.8,222.02
46.9,221.54
47,221.32
47.1,222.06
47.2,220.34
47.3,220.79
47.4,220.62
47.5,219.63
47.6,220.69
47.7,220.62
47.8,220.41
47.9,221.75
48,220.93
48.1,220.74
48.2,221.18
48.3,220
48.4,219.88
48.5,219.84
48.6,221.11
48.7,220.09
48.8,220.2
48.9,221.45
49,220.81
49.1,220.67
49.2,221.62
49.3,221.23
49.4,220.77
49.5,220.44
49.6,220.14
49.7,220.35
49.8,220.48
49.9,220.37
50,220.9
50.1,220.07
50.2,220.45
50.3,220.73
50.4,220.58
50.5,221.34
50.6,220.97
50.7,221.38
50.8,221.07
50.9,220.3
51,221.04
51.1,221
51.2,220.32
51.3,221.53
51.4,220
51.5,220.63
51.6,221.56
51.7,220.29
51.8,221.17
51.9,220.89
52,220.39
52.1,221.59
52.2,221.23
52.3,220.87
52.4,221.53
52.5,220.44
52.6,220.36
52.7,220.59
52.8,220.55
52.9,220.92
53,220.24
53.1,220.91
53.2,220.69
53.3,220.4
53.4,221.79
53.5,220.57
53.6,219.85
53.7,220.45
53.8,220.01
53.9,219.72
54,219.61
54.1,220.14
54.2,221.33
54.3,220.65
54.4,221.12
54.5,221.19
54.6,219.79
54.7,220.02
54.8,219.47
54.9,219.16
55,219.65
55.1,219.09
55.2,219.75
55.3,220.46
55.4,219.76
55.5,220.5
55.6,220.47
55.7,220.47
55.8,220.75
55.9,220.1
56,220.39
56.1,219.94
56.2,219.87
56.3,220.3
56.4,219.49
56.5,220.12
56.6,220.74
56.7,220.32
56.8,220.5
56.9,220.21
57,220
57.1,220.64
57.2,219.2
57.3,219.36
57.4,219.66
57.5,219.98
57.6,220.92
57.7,221.13
57.8,220.76
57.9,220.49
58,219.8
58.1,220.35
58.2,219.6
58.3,219.62
58.4,220.3
58.5,219.7
58.6,220.46
58.7,219.97
58.8,219.66
58.9,220.7
59,219.38
59.1,219.4
59.2,220.68
59.3,218.76
59.4,218.76
59.5,219.37
59.6,218.43
59.7,219.49
59.8,219.66
59.9,219.51
