Time,Force_Node1
0,529.59
0.1,527.41
0.2,526.98
0.3,526.78
0.4,525.92
0.5,525.6
0.6,525.6
0.7,524.33
0.8,524.07
0.9,523.74
1,523.13
1.1,524.26
1.2,523.11
1.3,523.32
1.4,521.96
1.5,523.41
1.6,521.87
1.7,521.92
1.8,521.51
1.9,522.73
2,521.79
2.1,521.66
2.2,520.88
2.3,520.46
2.4,520.82
2.5,520.54
2.6,520.03
2.7,520.51
2.8,518.8
2.9,519.24
3,520.21
3.1,519.62
3.2,520.63
3.3,519.37
3.4,519.29
3.5,519.36
3.6,518.93
3.7,519.29
3.8,519.81
3.9,519
4,518.81
4.1,517.88
4.2,519.39
4.3,518.64
4.4,518.19
4.5,518.54
4.6,517.94
4.7,518.11
4.8,518.82
4.9,519
5,517.93
5.1,518.72
5.2,516.98
5.3,518.18
5.4,517.99
5.5,517.95
5.6,517.65
5.7,517.92
5.8,517.18
5.9,518.43
6,517.45
6.1,518.23
6.2,515.7
6.3,517.77
6.4,517.07
6.5,517.06
6.6,518.16
6.7,516.09
6.8,517.26
6.9,516.67
7,514.83
7.1,518.04
7.2,516.43
7.3,516.59
7.4,516.07
7.5,516.57
7.6,515.52
7.7,515.74
7.8,517.4
7.9,515.77
8,516.08
8.1,516.32
8.2,516.95
8.3,516.01
8.4,516.14
8.5,515.66
8.6,515.84
8.7,515.36
8.8,515.34
8.9,515.63
9,516.74
9.1,514.85
9.2,514.66
9.3,516.33
9.4,516.6
9.5,515.9
9.6,515.76
9.7,515.04
9.8,516.14
9.9,515.97
10,515.34
10.1,515.36
10.2,515.55
10.3,515.23
10.4,515.09
10.5,515.26
10.6,514.64
10.7,514.33
10.8,514.72
10.9,514.42
11,515.32
11.1,514.5
11.2,514.53
11.3,515.08
11.4,514.09
11.5,514.44
11.6,514.56
11.7,514.43
11.8,512.91
11.9,514.22
12,514.09
12.1,514.99
12.2,514.56
12.3,514.43
12.4,514.32
12.5,514.2
12.6,514.73
12.7,514.46
12.8,513.68
12.9,513.99
13,515
13.1,513.92
13.2,514.17
13.3,513.5
13.4,514.05
13.5,513.9
13.6,513.54
13.7,513.52
13.8,513.65
13.9,513.06
14,511.92
14.1,513.86
14.2,513.32
14.3,513.41
14.4,514.56
14.5,513.37
14.6,513.21
14.7,513.43
14.8,514
14.9,513.35
15,513.66
15.1,513.73
15.2,513.63
15.3,513.58
15.4,514.75
15.5,514.05
15.6,512.49
15.7,513.4
15.8,513.36
15.9,513.27
16,513.42
16.1,513.14
16.2,513
16.3,513.32
16.4,512.58
16.5,513.82
16.6,512.91
16.7,513.55
16.8,512.51
16.9,513.04
17,512.18
17.1,513.44
17.2,512.91
17.3,512.53
17.4,512.15
17.5,512.18
17.6,512.72
17.7,512.24
17.8,514
17.9,512.43
18,512.51
18.1,512.26
18.2,512.34
18.3,512.22
18.4,512
18.5,512.08
18.6,512.45
18.7,512.74
18.8,511.9
18.9,512.7
19,512.09
19.1,511.48
19.2,513.19
19.3,511.15
19.4,512.61
19.5,512.26
19.6,512.06
19.7,511.98
19.8,512.71
19.9,511.77
20,512.1
20.1,510.72
20.2,513.01
20.3,512.08
20.4,512.18
20.5,512.7
20.6,511.81
20.7,511.58
20.8,511.71
20.9,512.89
21,511.4
21.1,512.11
21.2,511.24
21.3,511.27
21.4,511.06
21.5,512.89
21.6,512.15
21.7,512.28
21.8,512.41
21.9,511.93
22,512.15
22.1,510
22.2,510.16
22.3,512.25
22.4,511.32
22.5,510.81
22.6,512.77
22.7,510.54
22.8,512.22
22.9,511.22
23,512.28
23.1,513.27
23.2,512.16
23.3,510.87
23.4,512.12
23.5,511.29
23.6,511.76
23.7,510.71
23.8,510.6
23.9,511.52
24,510.52
24.1,511.41
24.2,511.4
24.3,510.2
24.4,510.46
24.5,510.74
24.6,511.6
24.7,511.41
24.8,510.18
24.9,510.34
25,511.86
25.1,511.13
25.2,510.82
25.3,511.01
25.4,511.91
25.5,509.96
25.6,511.39
25.7,510.31
25.8,511.31
25.9,511.6
26,510.88
26.1,511.42
26.2,510.48
26.3,510.58
26.4,511.12
26.5,511.39
26.6,511.02
26.7,510.66
26.8,510.57
26.9,510.28
27,511.23
27.1,511.29
27.2,511.39
27.3,509.93
27.4,509.98
27.5,511.75
27.6,510.44
27.7,510.11
27.8,510.24
27.9,510.81
28,510.85
28.1,510.39
28.2,511.52
28.3,510.81
28.4,510.74
28.5,510.56
28.6,509.72
28.7,510.7
28.8,510.17
28.9,510.92
29,510.67
29.1,510.21
29.2,510.13
29.3,509.58
29.4,509.94
29.5,510.67
29.6,510.06
29.7,509.96
29.8,510.94
29.9,510.67
30,511.25
30.1,510.78
30.2,509.63
30.3,510.2
30.4,509.88
30.5,510.84
30.6,510.85
30.7,510.44
30.8,509.48
30.9,509.54
31,509.75
31.1,509.55
31.2,510.03
31.3,510.26
31.4,510.33
31.5,510.91
31.6,510.29
31.7,508.84
31.8,509.7
31.9,509.47
32,509.5
32.1,509.91
32.2,509.37
32.3,509.49
32.4,510.16
32.5,510.04
32.6,509.58
32.7,510.06
32.8,509.42
32.9,510.47
33,509.45
33.1,509.79
33.2,509.43
33.3,509.59
33.4,510.77
33.5,510.74
33.6,509.46
33.7,509.48
33.8,509.79
33.9,509.2
34,509.86
34.1,508.98
34.2,508.62
34.3,509.93
34.4,508.78
34.5,509.4
34.6,510.53
34.7,510.07
34.8,509.59
34.9,510.44
35,509.35
35.1,508.71
35.2,509.62
35.3,509.17
35.4,509.74
35.5,509.92
35.6,509.66
35.7,509.02
35.8,510
35.9,510.52
36,510.29
36.1,510.51
36.2,508.46
36.3,509.17
36.4,509.5
36.5,509.3
36.6,508.85
36.7,509.86
36.8,508.57
36.9,509.76
37,510.07
37.1,509.54
37.2,509.12
37.3,508.83
37.4,508.5
37.5,509.29
37.6,509.9
37.7,509.51
37.8,509.15
37.9,509.35
38,509.94
38.1,509.05
38.2,509.44
38.3,508.85
38.4,509.83
38.5,510.34
38.6,508.3
38.7,507.63
38.8,508.19
38.9,508.38
39,508.95
39.1,508.91
39.2,509.08
39.3,509.17
39.4,509.82
39.5,509.72
39.6,509.54
39.7,509.32
39.8,509.29
39.9,509.74
40,508.48
40.1,509.12
40.2,509.59
40.3,507.97
40.4,508.55
40.5,508.79
40.6,508.56
40.7,509.37
40.8,509.03
40.9,509.17
41,508.55
41.1,507.59
41.2,510
41.3,508.77
41.4,508.35
41.5,509.13
41.6,507.77
41.7,507.59
41.8,508.21
41.9,508.76
42,507.99
42.1,508.51
42.2,509.36
42.3,507.75
42.4,508.54
42.5,509.29
42.6,508.27
42.7,508.47
42.8,508.6
42.9,509.81
43,508.52
43.1,507.45
43.2,509.05
43.3,508.27
43.4,507.99
43.5,508.71
43.6,507.75
43.7,508.53
43.8,508.48
43.9,507.45
44,507.26
44.1,508.56
44.2,508.75
44.3,508.45
44.4,508.72
44.5,509.4
44.6,508.51
44.7,508.29
44.8,509.79
44.9,508.55
45,509.63
45.1,507.42
45.2,508.29
45.3,508.04
45.4,508.58
45.5,507.83
45.6,508.37
45.7,508.56
45.8,508.62
45.9,507.38
46,508.18
46.1,507.7
46.2,508.24
46.3,508.84
46.4,507.84
46.5,508.73
46.6,508
46.7,507.75
46.8,508.12
46.9,507.67
47,508.48
47.1,508.34
47.2,507.99
47.3,507.84
47.4,507.28
47.5,508.31
47.6,507.11
47.7,507.21
47.8,507.86
47.9,508.27
48,507.8
48.1,508.86
48.2,507.78
48.3,507.76
48.4,507.77
48.5,509.05
48.6,508.21
48.7,507.15
48.8,507.87
48.9,508.36
49,509.32
49.1,507.8
49.2,507.54
49.3,507.93
49.4,507.82
49.5,508.78
49.6,507.77
49.7,508.03
49.8,507.67
49.9,507.93
50,508.65
50.1,508.74
50.2,508.8
50.3,508.59
50.4,507.34
50.5,508.35
50.6,506.88
50.7,506.53
50.8,508.63
50.9,507.58
51,508.38
51.1,507.53
51.2,507.95
51.3,507.83
51.4,507.23
51.5,506.78
51.6,507.32
51.7,508.65
51.8,507.54
51.9,508.76
52,508.76
52.1,508.09
52.2,508.34
52.3,508.25
52.4,508.85
52.5,508.26
52.6,506.82
52.7,507.92
52.8,506.88
52.9,508.04
53,508.04
53.1,507.48
53.2,508.24
53.3,507.46
53.4,507.89
53.5,507.39
53.6,507.72
53.7,506.53
53.8,508.25
53.9,508.37
54,508.05
54.1,507.65
54.2,508.34
54.3,507.95
54.4,506.9
54.5,507.95
54.6,507.91
54.7,508.07
54.8,507.01
54.9,508.06
55,506.44
55.1,507.83
55.2,507.32
55.3,507.41
55.4,507.49
55.5,507.77
55.6,507.41
55.7,507.59
55.8,507.46
55.9,507.81
56,507.35
56.1,507.96
56.2,507.76
56.3,507.21
56.4,507.41
56.5,508.03
56.6,506.92
56.7,507.06
56.8,507.15
56.9,507.85
57,506.53
57.1,507.25
57.2,507.37
57.3,507.47
57.4,508.02
57.5,507.55
57.6,507.03
57.7,507.25
57.8,507.92
57.9,506.39
58,506.53
58.1,507.79
58.2,507.38
58.3,507.68
58.4,507.84
58.5,507.25
58.6,507.08
58.7,507.36
58.8,507.12
58.9,507.35
59,507.18
59.1,506.5
59.2,507.01
59.3,506.54
59.4,506.86
59.5,507.03
59.6,507.35
59.7,507.44
59.8,506.71
59.9,508.11
