Time,Force_Node1
0.0,928.41
0.1,-0.24
0.2,-0.24
0.3,-0.24
0.4,-0.24
0.5,-0.24
0.6,-0.24
0.7,-0.24
0.8,-0.24
0.9,-0.24
1.0,-0.24
1.1,0.36
1.2,0.36
1.3,0.36
1.4,0.36
1.5,0.36
1.6,0.36
1.7,0.36
1.8,0.36
1.9,0.36
2.0,0.36
2.1,0.36
2.2,-0.13
2.3,-0.13
2.4,-0.13
2.5,-0.13
2.6,-0.13
2.7,-0.13
2.8,-0.13
2.9,-0.13
3.0,-0.13
3.1,-0.13
3.2,0.29
3.3,0.29
3.4,0.29
3.5,0.29
3.6,0.29
3.7,0.29
3.8,0.29
3.9,0.29
4.0,0.29
4.1,0.29
4.2,0.29
4.3,-0.19
4.4,-0.19
4.5,-0.19
4.6,-0.19
4.7,-0.19
4.8,-0.19
4.9,-0.19
5.0,-0.19
5.1,-0.19
5.2,-0.19
5.3,-0.44
5.4,-0.44
5.5,-0.44
5.6,-0.44
5.7,-0.44
5.8,-0.44
5.9,-0.44
6.0,-0.44
6.1,-0.44
6.2,-0.44
6.3,-0.44
6.4,0.24
6.5,0.24
6.6,0.24
6.7,0.24
6.8,0.24
6.9,0.24
7.0,0.24
7.1,0.24
7.2,0.24
7.3,0.24
7.4,0.57
7.5,0.57
7.6,0.57
7.7,0.57
7.8,0.57
7.9,0.57
8.0,0.57
8.1,0.57
8.2,0.57
8.3,0.57
8.4,0.57
8.5,7.23
8.6,7.23
8.7,7.23
8.8,7.23
8.9,7.23
9.0,7.23
9.1,7.23
9.2,7.23
9.3,7.23
9.4,7.23
9.5,17.30
9.6,17.30
9.7,17.30
9.8,17.30
9.9,17.30
10.0,17.30
10.1,17.30
10.2,17.30
10.3,17.30
10.4,17.30
10.5,17.30
10.6,25.97
10.7,25.97
10.8,25.97
10.9,25.97
11.0,25.97
11.1,25.97
11.2,25.97
11.3,25.97
11.4,25.97
11.5,25.97
11.6,34.99
11.7,34.99
11.8,34.99
11.9,34.99
12.0,34.99
12.1,34.99
12.2,34.99
12.3,34.99
12.4,34.99
12.5,34.99
12.6,44.29
12.7,44.29
12.8,44.29
12.9,44.29
13.0,44.29
13.1,44.29
13.2,44.29
13.3,44.29
13.4,44.29
13.5,44.29
13.6,44.29
13.7,53.53
13.8,53.53
13.9,53.53
14.0,53.53
14.1,53.53
14.2,53.53
14.3,53.53
14.4,53.53
14.5,53.53
14.6,53.53
14.7,62.56
14.8,62.56
14.9,62.56
15.0,62.56
15.1,62.56
15.2,62.56
15.3,62.56
15.4,62.56
15.5,62.56
15.6,62.56
15.7,62.56
15.8,71.58
15.9,71.58
16.0,71.58
16.1,71.58
16.2,71.58
16.3,71.58
16.4,71.58
16.5,71.58
16.6,71.58
16.7,71.58
16.8,81.61
16.9,81.61
17.0,81.61
17.1,81.61
17.2,81.61
17.3,81.61
17.4,81.61
17.5,81.61
17.6,81.61
17.7,81.61
17.8,81.61
17.9,90.33
18.0,90.33
18.1,90.33
18.2,90.33
18.3,90.33
18.4,90.33
18.5,90.33
18.6,90.33
18.7,90.33
18.8,90.33
18.9,99.33
19.0,99.33
19.1,99.33
19.2,99.33
19.3,99.33
19.4,99.33
19.5,99.33
19.6,99.33
19.7,99.33
19.8,99.33
19.9,99.33
20.0,108.43
20.1,108.43
20.2,108.43
20.3,108.43
20.4,108.43
20.5,108.43
20.6,108.43
20.7,108.43
20.8,108.43
20.9,108.43
21.0,117.16
21.1,117.16
21.2,117.16
21.3,117.16
21.4,117.16
21.5,117.16
21.6,117.16
21.7,117.16
21.8,117.16
21.9,117.16
22.0,117.16
22.1,126.46
22.2,126.46
22.3,126.46
22.4,126.46
22.5,126.46
22.6,126.46
22.7,126.46
22.8,126.46
22.9,126.46
23.0,126.46
23.1,136.21
23.2,136.21
23.3,136.21
23.4,136.21
23.5,136.21
23.6,136.21
23.7,136.21
23.8,136.21
23.9,136.21
24.0,136.21
24.1,136.21
24.2,145.12
24.3,145.12
24.4,145.12
24.5,145.12
24.6,145.12
24.7,145.12
24.8,145.12
24.9,145.12
25.0,145.12
25.1,145.12
25.2,154.21
25.3,154.21
25.4,154.21
25.5,154.21
25.6,154.21
25.7,154.21
25.8,154.21
25.9,154.21
26.0,154.21
26.1,154.21
26.2,154.21
26.3,162.65
