Time,Force_Node1_LTD,Force_Node2_LTD,Force_Node2_LTD_2
0,263.44,187.86,110.5
0.1,263.43,188.32,110.26
0.2,263.93,187.6,109.9
0.3,263.1,187.78,110.1
0.4,263.48,187.86,110.3
0.5,263.78,187.99,109.56
0.6,263.17,187.96,110.48
0.7,263.26,187.59,110.25
0.8,263.46,187.99,109.88
0.9,263.28,187.77,110.33
1,263.69,187.83,110.39
1.1,263.23,187.49,110.06
1.2,263.27,187.9,110.11
1.3,262.59,187.99,110.09
1.4,263.61,187.68,110.2
1.5,262.86,187.95,110.1
1.6,262.85,187.84,110.07
1.7,263.08,187.95,110.38
1.8,262.76,187.94,110.25
1.9,262.87,187.72,109.85
2,262.92,187.84,109.73
2.1,263.69,187.91,109.79
2.2,262.47,187.72,110.23
2.3,263.08,187.84,110.67
2.4,263.39,187.39,109.84
2.5,263.22,187.85,109.91
2.6,262.7,188.2,110.06
2.7,262.86,187.51,109.94
2.8,262.66,187.53,110.23
2.9,262.25,187.82,110.02
3,262.48,187.75,110.23
3.1,262.95,187.42,110.03
3.2,262.74,188.03,109.84
3.3,262.43,187.73,109.77
3.4,262.29,187.45,109.77
3.5,262.06,187.7,110.41
3.6,262.02,187.47,109.77
3.7,262.5,187.8,110.62
3.8,262.67,187.81,110.41
3.9,262.47,187.55,110.72
4,262.34,187.93,110.5
4.1,262.07,187.88,110.09
4.2,262.37,187.57,110.03
4.3,262.56,188.02,109.92
4.4,261.76,187.99,109.79
4.5,262.1,187.61,110.74
4.6,262.21,187.68,110.03
4.7,262.56,187.53,109.86
4.8,261.95,187.26,110.06
4.9,262.48,187.89,110.18
5,262.41,187.53,109.97
5.1,262.02,187.55,110.43
5.2,262.16,187.54,110.15
5.3,262.09,187.89,110.08
5.4,262.32,187.36,110.44
5.5,261.87,187.34,109.6
5.6,261.71,187.6,109.55
5.7,262.06,187.7,110.13
5.8,262.12,187.39,109.72
5.9,262.47,187.7388136,110.1071186
6,262.23,,
6.1,262.48,,
6.2,262.26,,
6.3,262.75,,
6.4,262.1,,
6.5,262.57,,
6.6,262.59,,
6.7,261.6,,
6.8,261.69,,
6.9,262.13,,
,262.6431429,,
