Time,Force_Node1_LTD
0,369.46
0.1,356.78
0.2,356.78
0.3,369.78
0.4,369.78
0.5,369.78
0.6,353.91
0.7,353.91
0.8,370.78
0.9,370.78
1,370.78
1.1,356.33
1.2,356.33
1.3,368.1
1.4,368.1
1.5,368.1
1.6,354.57
1.7,354.57
1.8,346.7
1.9,346.7
2,346.7
2.1,354.9
2.2,354.9
2.3,354.9
2.4,345.6
2.5,345.6
2.6,357.2
2.7,357.2
2.8,357.2
2.9,343.41
3,343.41
3.1,357.32
3.2,357.32
3.3,357.32
3.4,343.83
3.5,343.83
3.6,332.39
3.7,332.39
3.8,332.39
3.9,345.94
4,345.94
4.1,332.56
4.2,332.56
4.3,332.56
4.4,346.4
4.5,346.4
4.6,330.05
4.7,330.05
4.8,330.05
4.9,346.39
5,346.39
5.1,332.51
5.2,332.51
5.3,332.51
5.4,318.87
5.5,318.87
5.6,318.87
5.7,335.61
5.8,335.61
5.9,319.09
6,319.09
6.1,319.09
6.2,334.93
6.3,334.93
6.4,320.99
6.5,320.99
6.6,320.99
6.7,320.99
6.8,320.99
6.9,320.99
7,335.62
7.1,335.62
7.2,335.62
7.3,319.16
7.4,319.16
7.5,336.25
7.6,336.25
7.7,336.25
7.8,319.15
7.9,319.15
8,319.15
8.1,334.67
8.2,334.67
8.3,319.23
8.4,319.23
8.5,319.23
8.6,335.41
8.7,335.41
8.8,319.49
8.9,319.49
9,319.49
9.1,309.91
9.2,309.91
9.3,322.97
9.4,322.97
9.5,322.97
9.6,308.33
9.7,308.33
9.8,323.77
9.9,323.77
10,323.77
10.1,309.52
10.2,309.52
10.3,309.52
10.4,322.42
10.5,322.42
10.6,309.02
10.7,309.02
10.8,309.02
10.9,323.13
11,323.13
11.1,309.12
11.2,309.12
11.3,309.12
11.4,323.55
11.5,323.55
11.6,308.79
11.7,308.79
11.8,308.79
11.9,322.4
12,322.4
12.1,309.67
12.2,309.67
12.3,309.67
12.4,321.55
12.5,321.55
12.6,307.67
12.7,307.67
12.8,307.67
12.9,323.05
13,323.05
13.1,308.22
13.2,308.22
13.3,308.22
13.4,324.26
13.5,324.26
13.6,324.26
13.7,307.96
13.8,307.96
13.9,320.44
14,320.44
14.1,320.44
14.2,309.75
14.3,309.75
14.4,299.61
14.5,299.61
14.6,299.61
14.7,299.22
14.8,300.75
14.9,299.92
15,300.44
15.1,299.33
15.2,298.77
15.3,299.62
15.4,299.4
15.5,299.73
15.6,299.51
15.7,299.13
15.8,299.15
15.9,298.69
16,299.61
16.1,299.61
16.2,299.56
16.3,299.58
16.4,299.85
16.5,299.42
16.6,299.07
16.7,299.98
16.8,299.32
16.9,299.78
17,299
17.1,298.55
17.2,299.44
17.3,298.72
17.4,299.21
17.5,299.72
17.6,299.77
17.7,299.3
17.8,299.8
17.9,299.3
18,299.5
18.1,299.34
18.2,299.32
18.3,298.64
18.4,298.96
18.5,299.83
18.6,299.39
18.7,299.51
18.8,299.12
18.9,299.77
19,299.24
19.1,299.68
19.2,299.31
19.3,299.96
19.4,298.22
19.5,298.58
19.6,299.37
19.7,298.95
19.8,299.08
19.9,298.84
20,298.8
20.1,299.06
20.2,299.64
20.3,299.66
20.4,299.47
20.5,299.53
20.6,298.82
20.7,299.16
20.8,299.14
20.9,298.78
21,298.38
21.1,298.88
21.2,299.63
