Time,Force_Node9_LTD,Force_Node10_LTD,Force_Node11_LTD,Force_Node12_LTD,Force_Node13_LTD,Force_Node14_LTD,Force_Node15_LTD
0,201,165.02,154.92,92.02,91.02,91.1,91.46
0.1,200.13,164.78,156.24,91.21,90.82,91.59,91.45
0.2,201.45,164.67,156.24,91.55,91.86,91.6,91.45
0.3,201.14,164.59,156.24,91.9,91.86,91.2,91.45
0.4,200.26,165.08,156.24,92.08,91.86,91.57,91.45
0.5,201.27,164.66,154.59,91.68,91.86,91.31,91.45
0.6,200.53,164.77,157.06,92.15,91.91,91.65,91.29
0.7,199.93,164.54,155.46,92.06,91.56,91.24,91.8
0.8,200.87,164.96,154.08,91.94,92.13,91.6,92.04
0.9,200.83,164.65,155.38,91.99,91.88,91.85,91.19
1,200.27,164.55,155.67,91.78,91.85,91.11,91.6
1.1,200.78,164.6,155,91.88,92.43,90.88,91.73
1.2,200.5,164.4,154.26,91.79,92,90.97,91.63
1.3,200.44,164.65,154.29,91.89,91.75,91.11,91.34
1.4,200.49,164.62,155.41,92.03,91.76,91.22,91.96
1.5,200.45,164.41,154.62,91.81,92.26,91.57,90.87
1.6,200.35,164.49,154.16,91.89,92.04,90.69,90.87
1.7,200.4,164.71,155.2,92.14,91.73,91.19,91.15
1.8,200.23,164.61,154.71,91.6,92.2,91.57,91.31
1.9,200.29,164.48,154.46,92,91.68,91.9,91.02
2,200.46,164.62,154.49,91.68,92.55,91.11,90.27
2.1,200.55,164.4,154.61,91.77,92.32,91.69,90.65
2.2,200.24,164.51,153.78,92,92.23,91.07,90.72
2.3,200.22,164.5,154.37,92.02,92.2,91.07,90.6
2.4,200.43,164.59,155.15,91.75,91.77,91.03,91.58
2.5,200.15,164.5,154.82,91.94,92.4,91.22,91.62
2.6,200.14,164.35,154.46,91.95,92.03,91.45,91.77
2.7,200.38,164.48,154.97,92.09,91.73,91.13,91.56
2.8,200.38,164.24,154.38,92.18,91.73,91.14,90.72
2.9,200.3,164.5,154.21,91.81,92.25,91.63,91.53
3,200.12,164.51,153.43,92.36,91.93,91.08,91.37
3.1,200.37,164.52,154.06,91.95,91.81,91.47,90.87
3.2,200.35,164.64,154.8,91.51,91.94,91.15,91.41
3.3,200.25,164.44,154.59,92.33,92.04,90.82,90.62
3.4,200.33,164.52,154.55,91.59,92.15,91.46,91.23
3.5,200.11,164.07,154.39,91.92,91.83,90.73,91.91
3.6,200.16,164.53,154.19,91.94,92.44,90.81,91.13
3.7,200.4,164.52,154.36,91.79,91.84,91.47,91.27
3.8,200.42,164.46,154.29,91.33,92.02,91.09,90.91
3.9,200.42,164.58,154.81,91.78,92.29,91.41,91.08
4,200.45,164.29,154.98,91.52,91.98,91.55,91.16
4.1,200.38,164.71,155.21,91.64,91.82,90.9,91.75
4.2,200.09,164.6,154.35,92,91.95,91.45,91.48
4.3,200.24,164.16,154.88,91.63,92.22,90.86,91.74
4.4,200.17,164.4,154.37,91.81,91.87,90.78,90.89
4.5,200.44,164.22,154.01,91.82,91.69,90.88,91.74
4.6,200.35,164.48,154.48,91.19,92.79,91.26,90.7
4.7,200.39,164.68,154.46,91.52,92.04,90.84,91.4
4.8,200.18,164.2,154.85,91.89,91.47,91.21,91.33
4.9,200.09,164.44,154.63,91.87,91.52,,
5,200.26,164.4,154.86,92.09,92.21,,
5.1,200.26,164.25,154.63,92.3,91.27,,
5.2,200.06,164.51,153.93,91.45,91.2,,
5.3,,,,91.88,92.02,,
5.4,,,,91.97,91.22,,
5.5,,,,91.64,92.3,,
5.6,,,,91.46,91.93,,
5.7,,,,91.69,,,
5.8,,,,91.71,,,
5.9,,,,92.02,,,
6,,,,91.77,,,
6.1,,,,,,,
6.2,,,,,,,
6.3,,,,,,,
6.4,,,,,,,
6.5,,,,,,,
6.6,,,,,,,
6.7,,,,,,,
6.8,,,,,,,
6.9,,,,,,,
