Time,Force_Node1_LTD,Force_Node3_LTD,Force_Node5_LTD,Force_Node7_LTD,Force_Node9_LTD,Force_Node11_LTD,Force_Node13_LTD,Force_Node15_LTD
0,435.17,355.7,299.86,259.02,201,154.92,91.02,91.46
0.1,433.13,355.55,301.55,259.04,200.13,156.24,90.82,91.45
0.2,431.63,355.07,302.39,259.18,201.45,156.24,91.86,91.45
0.3,432.27,355.13,299.86,258.77,201.14,156.24,91.86,91.45
0.4,431.02,354.77,301.35,259.02,200.26,156.24,91.86,91.45
0.5,429.91,355.08,301.95,258.95,201.27,154.59,91.86,91.45
0.6,429.94,355.06,299.79,258.79,200.53,157.06,91.91,91.29
0.7,429.74,354.83,301.1,258.95,199.93,155.46,91.56,91.8
0.8,430.24,354.36,299.86,258.93,200.87,154.08,92.13,92.04
0.9,428.54,355.08,299.86,258.68,200.83,155.38,91.88,91.19
1,428.83,354.7,301.45,259.03,200.27,155.67,91.85,91.6
1.1,427.8,354.1,300.14,258.7,200.78,155,92.43,91.73
1.2,428.34,355.1,299.57,258.8,200.5,154.26,92,91.63
1.3,427.65,355.36,301.41,258.55,200.44,154.29,91.75,91.34
1.4,427.72,354.46,300.13,258.93,200.49,155.41,91.76,91.96
1.5,427.23,354.97,299.93,258.68,200.45,154.62,92.26,90.87
1.6,427.69,354.72,300.95,258.7,200.35,154.16,92.04,90.87
1.7,427.23,354.17,300.5,258.73,200.4,155.2,91.73,91.15
1.8,426.35,354.69,301.08,258.81,200.23,154.71,92.2,91.31
1.9,426.61,354.24,301.21,258.65,200.29,154.46,91.68,91.02
2,427.26,353.85,300.23,258.6,200.46,154.49,92.55,90.27
2.1,426.47,354.05,301,258.54,200.55,154.61,92.32,90.65
2.2,426.17,354.27,301.15,258.61,200.24,153.78,92.23,90.72
2.3,426.06,353.81,300.34,258.62,200.22,154.37,92.2,90.6
2.4,426.17,354.15,301.05,258.62,200.43,155.15,91.77,91.58
2.5,426.14,353.86,301.12,258.65,200.15,154.82,92.4,91.62
2.6,426.32,353.67,300.09,258.8,200.14,154.46,92.03,91.77
2.7,425.48,353.76,300.73,258.63,200.38,154.97,91.73,91.56
2.8,425.9,353.67,300.89,258.83,200.38,154.38,91.73,90.72
2.9,426.03,354.21,299.98,258.64,200.3,154.21,92.25,91.53
3,425.88,353.49,301.09,258.67,200.12,153.43,91.93,91.37
3.1,425.64,353.48,299.97,258.64,200.37,154.06,91.81,90.87
3.2,425.55,353.38,300.07,258.59,200.35,154.8,91.94,91.41
3.3,425.06,353.39,300.39,258.61,200.25,154.59,92.04,90.62
3.4,425.75,353.66,300.12,258.42,200.33,154.55,92.15,91.23
3.5,425.45,353.82,300.39,258.33,200.11,154.39,91.83,91.91
3.6,425.14,353.9,300.68,258.57,200.16,154.19,92.44,91.13
3.7,424.62,353.48,300.11,258.4,200.4,154.36,91.84,91.27
3.8,425.6,354.31,300.49,258.64,200.42,154.29,92.02,90.91
3.9,425.19,353.51,300.52,258.72,200.42,154.81,92.29,91.08
4,424.5,353.72,300.18,258.7,200.45,154.98,91.98,91.16
4.1,425.13,354.16,299.95,258.46,200.38,155.21,91.82,91.75
4.2,425.22,353.72,300.72,258.44,200.09,154.35,91.95,91.48
4.3,424.61,353.63,300.24,258.51,200.24,154.88,92.22,91.74
4.4,424.71,353.63,300.34,258.47,200.17,154.37,91.87,90.89
4.5,424.21,353.53,300.39,258.3,200.44,154.01,91.69,91.74
4.6,424.21,353.81,300.39,258.23,200.35,154.48,92.79,90.7
4.7,424.53,353.5,300.32,258.85,200.39,154.46,92.04,91.4
4.8,424.57,353.35,300.68,258.71,200.18,154.85,91.47,91.33
4.9,424.77,353.19,300.19,258.76,200.09,154.63,91.52,
5,423.87,353.38,300.24,258.6,200.26,154.86,92.21,
5.1,423.86,353.71,300.48,258.45,200.26,154.63,91.27,
5.2,423.14,353.76,300.27,258.71,200.06,153.93,91.2,
5.3,423.54,353.5,300.86,258.7,,,92.02,
5.4,423.5,353.67,300.56,258.6,,,91.22,
5.5,423.21,353.45,300.49,258.54,,,92.3,
5.6,424.25,353.22,300.34,258.56,,,91.93,
5.7,423.39,353.6,300.53,,,,,
5.8,424.1,353.95,300.45,,,,,
5.9,424.18,352.94,300.11,,,,,
6,423.21,353.23,300.08,,,,,
6.1,423.96,352.98,300.23,,,,,
6.2,423.27,353.01,300.42,,,,,
6.3,423.43,353.23,300.46,,,,,
6.4,423.46,353.3,300.39,,,,,
6.5,423.43,353.66,,,,,,
6.6,423.52,352.97,,,,,,
6.7,422.92,352.93,,,,,,
6.8,423.02,353.12,,,,,,
6.9,422.83,352.83,,,,,,
