Time,Force_Node1_LTD,Force_Node5_LTD,Force_Node9_LTD,Force_Node13_LTD
0,435.17,299.86,201,91.02
0.1,433.13,301.55,200.13,90.82
0.2,431.63,302.39,201.45,91.86
0.3,432.27,299.86,201.14,91.86
0.4,431.02,301.35,200.26,91.86
0.5,429.91,301.95,201.27,91.86
0.6,429.94,299.79,200.53,91.91
0.7,429.74,301.1,199.93,91.56
0.8,430.24,299.86,200.87,92.13
0.9,428.54,299.86,200.83,91.88
1,428.83,301.45,200.27,91.85
1.1,427.8,300.14,200.78,92.43
1.2,428.34,299.57,200.5,92
1.3,427.65,301.41,200.44,91.75
1.4,427.72,300.13,200.49,91.76
1.5,427.23,299.93,200.45,92.26
1.6,427.69,300.95,200.35,92.04
1.7,427.23,300.5,200.4,91.73
1.8,426.35,301.08,200.23,92.2
1.9,426.61,301.21,200.29,91.68
2,427.26,300.23,200.46,92.55
2.1,426.47,301,200.55,92.32
2.2,426.17,301.15,200.24,92.23
2.3,426.06,300.34,200.22,92.2
2.4,426.17,301.05,200.43,91.77
2.5,426.14,301.12,200.15,92.4
2.6,426.32,300.09,200.14,92.03
2.7,425.48,300.73,200.38,91.73
2.8,425.9,300.89,200.38,91.73
2.9,426.03,299.98,200.3,92.25
3,425.88,301.09,200.12,91.93
3.1,425.64,299.97,200.37,91.81
3.2,425.55,300.07,200.35,91.94
3.3,425.06,300.39,200.25,92.04
3.4,425.75,300.12,200.33,92.15
3.5,425.45,300.39,200.11,91.83
3.6,425.14,300.68,200.16,92.44
3.7,424.62,300.11,200.4,91.84
3.8,425.6,300.49,200.42,92.02
3.9,425.19,300.52,200.42,92.29
4,424.5,300.18,200.45,91.98
4.1,425.13,299.95,200.38,91.82
4.2,425.22,300.72,200.09,91.95
4.3,424.61,300.24,200.24,92.22
4.4,424.71,300.34,200.17,91.87
4.5,424.21,300.39,200.44,91.69
4.6,424.21,300.39,200.35,92.79
4.7,424.53,300.32,200.39,92.04
4.8,424.57,300.68,200.18,91.47
4.9,424.77,300.19,200.09,91.52
5,423.87,300.24,200.26,92.21
5.1,423.86,300.48,200.26,91.27
5.2,423.14,300.27,200.06,91.2
5.3,423.54,300.86,,92.02
5.4,423.5,300.56,,91.22
5.5,423.21,300.49,,92.3
5.6,424.25,300.34,,91.93
5.7,423.39,300.53,,
5.8,424.1,300.45,,
5.9,424.18,300.11,,
6,423.21,300.08,,
6.1,423.96,300.23,,
6.2,423.27,300.42,,
6.3,423.43,300.46,,
6.4,423.46,300.39,,
6.5,423.43,,,
6.6,423.52,,,
6.7,422.92,,,
6.8,423.02,,,
6.9,422.83,,,
