Time,Force_Node1_LTD,Force_Node2_LTD,Force_Node3_LTD,Force_Node4_LTD,Force_Node5_LTD,Force_Node6_LTD
0.0,928.55,114.90,132.95,151.08,169.83,187.07
0.1,-0.59,112.77,132.85,151.19,169.58,186.84
0.2,-0.59,113.73,132.17,150.26,168.30,186.70
0.3,-0.59,113.90,131.87,150.26,168.56,186.80
0.4,-0.59,113.42,133.64,151.82,170.01,187.14
0.5,-0.59,114.13,133.24,150.14,168.76,186.78
0.6,-0.59,112.90,132.30,150.51,168.79,186.81
0.7,-0.59,114.53,133.11,150.87,169.47,186.67
0.8,-0.59,113.42,132.55,150.72,169.11,186.73
0.9,-0.59,112.75,132.29,150.79,169.30,187.13
1.0,-0.59,114.37,132.65,150.78,168.38,186.80
1.1,0.09,114.14,132.08,151.06,168.63,186.90
1.2,0.09,114.58,133.18,150.93,169.43,186.40
1.3,0.09,114.22,132.72,150.28,168.74,186.71
1.4,0.09,114.70,131.67,150.48,169.18,187.03
1.5,0.09,114.32,132.84,150.67,168.66,186.42
1.6,0.09,113.43,132.41,150.51,168.96,186.49
1.7,0.09,113.32,132.28,150.68,169.33,186.79
1.8,0.09,113.23,132.70,150.60,169.30,186.79
1.9,0.09,113.45,132.39,150.55,168.98,186.98
2.0,0.09,114.54,132.73,150.78,169.17,186.47
2.1,0.09,113.92,132.82,150.50,168.85,186.74
2.2,-0.03,114.50,132.46,150.31,169.04,187.17
2.3,-0.03,113.34,132.97,150.51,169.34,186.64
2.4,-0.03,113.79,133.02,150.83,169.22,186.65
2.5,-0.03,113.91,132.38,150.59,168.77,187.23
2.6,-0.03,113.85,132.80,150.23,168.78,186.63
2.7,-0.03,113.95,132.59,150.59,168.98,186.79
2.8,-0.03,113.21,132.65,150.81,168.78,186.71
2.9,-0.03,112.73,132.42,150.69,168.79,186.58
3.0,-0.03,113.19,132.12,150.54,169.04,186.61
3.1,-0.03,112.77,132.84,150.70,168.96,186.66
3.2,0.32,112.98,132.26,150.70,169.15,186.36
3.3,0.32,113.84,132.29,150.27,169.06,186.63
3.4,0.32,113.87,132.30,150.50,168.83,186.62
3.5,0.32,114.40,132.40,150.57,168.84,186.90
3.6,0.32,114.39,132.36,150.70,169.04,186.77
3.7,0.32,113.44,132.34,150.89,169.01,186.70
3.8,0.32,113.19,132.54,150.57,168.93,186.85
3.9,0.32,113.87,132.27,150.68,168.81,186.17
4.0,0.32,113.38,132.78,150.76,169.02,186.81
4.1,0.32,114.19,132.15,150.40,168.54,186.45
4.2,0.32,113.84,132.43,150.47,169.37,186.67
4.3,0.24,113.90,132.59,150.77,168.72,186.66
4.4,0.24,113.26,132.61,150.86,169.12,186.78
4.5,0.24,113.22,132.42,150.37,168.94,186.55
4.6,0.24,113.74,132.85,150.43,168.69,187.00
4.7,0.24,113.65,132.08,150.82,169.01,186.55
4.8,0.24,113.46,132.49,150.81,168.93,187.03
4.9,0.24,113.74,132.82,150.46,168.99,186.57
5.0,0.24,114.28,132.55,150.49,169.00,186.71
5.1,0.24,113.70,132.55,150.59,169.06,186.64
5.2,0.24,113.55,132.64,150.98,169.15,186.68
5.3,0.01,113.19,132.56,150.67,168.68,186.70
5.4,0.01,113.11,132.73,150.40,168.99,186.36
5.5,0.01,114.43,132.16,150.41,169.08,186.40
5.6,0.01,114.06,132.17,150.54,168.66,186.69
5.7,0.01,112.60,132.31,150.28,168.70,186.51
5.8,0.01,113.75,132.58,150.77,169.07,186.91
5.9,0.01,113.32,132.51,150.54,168.85,
6.0,0.01,113.35,132.63,150.30,168.86,
6.1,0.01,113.08,132.49,150.61,169.09,
6.2,0.01,114.58,132.77,150.61,168.98,
6.3,0.30,113.50,132.53,150.47,168.78,
6.4,0.30,112.88,132.41,150.48,168.90,
6.5,0.30,114.28,132.55,150.67,168.68,
6.6,0.30,114.44,132.21,150.82,168.70,
6.7,0.30,112.37,132.70,150.69,168.78,
6.8,0.30,113.49,132.26,150.46,168.46,
6.9,0.30,113.73,132.59,150.72,169.22,
7.0,0.30,,,,,
7.1,0.30,,,,,
7.2,0.30,,,,,
7.3,0.30,,,,,
7.4,0.19,,,,,
7.5,0.19,,,,,
7.6,0.19,,,,,
7.7,0.19,,,,,
7.8,0.19,,,,,
7.9,0.19,,,,,
8.0,0.19,,,,,
8.1,0.19,,,,,
8.2,0.19,,,,,
8.3,0.19,,,,,
8.4,0.13,,,,,
8.5,0.13,,,,,
8.6,0.13,,,,,
8.7,0.13,,,,,
8.8,0.13,,,,,
8.9,0.13,,,,,
9.0,0.13,,,,,
9.1,0.13,,,,,
9.2,0.13,,,,,
9.3,0.13,,,,,
9.4,0.13,,,,,
9.5,-0.27,,,,,
9.6,-0.27,,,,,
9.7,-0.27,,,,,
9.8,-0.27,,,,,
9.9,-0.27,,,,,
10.0,-0.27,,,,,
10.1,-0.27,,,,,
10.2,-0.27,,,,,
10.3,-0.27,,,,,
10.4,-0.27,,,,,
10.5,3.83,,,,,
10.6,3.83,,,,,
10.7,3.83,,,,,
10.8,3.83,,,,,
10.9,3.83,,,,,
11.0,3.83,,,,,
11.1,3.83,,,,,
11.2,3.83,,,,,
11.3,3.83,,,,,
11.4,3.83,,,,,
11.5,3.83,,,,,
11.6,13.28,,,,,
11.7,13.28,,,,,
11.8,13.28,,,,,
11.9,13.28,,,,,
12.0,13.28,,,,,
12.1,13.28,,,,,
12.2,13.28,,,,,
12.3,13.28,,,,,
12.4,13.28,,,,,
12.5,13.28,,,,,
12.6,21.82,,,,,
12.7,21.82,,,,,
12.8,21.82,,,,,
12.9,21.82,,,,,
13.0,21.82,,,,,
13.1,21.82,,,,,
13.2,21.82,,,,,
13.3,21.82,,,,,
13.4,21.82,,,,,
13.5,21.82,,,,,
13.6,21.82,,,,,
13.7,31.49,,,,,
13.8,31.49,,,,,
13.9,31.49,,,,,
14.0,31.49,,,,,
14.1,31.49,,,,,
14.2,31.49,,,,,
14.3,31.49,,,,,
14.4,31.49,,,,,
14.5,31.49,,,,,
14.6,31.49,,,,,
14.7,39.88,,,,,
14.8,39.88,,,,,
14.9,39.88,,,,,
15.0,39.88,,,,,
15.1,39.88,,,,,
15.2,39.88,,,,,
15.3,39.88,,,,,
15.4,39.88,,,,,
15.5,39.88,,,,,
15.6,39.88,,,,,
15.7,39.88,,,,,
15.8,47.97,,,,,
15.9,47.97,,,,,
16.0,47.97,,,,,
16.1,47.97,,,,,
16.2,47.97,,,,,
16.3,47.97,,,,,
16.4,47.97,,,,,
16.5,47.97,,,,,
16.6,47.97,,,,,
16.7,47.97,,,,,
16.8,58.26,,,,,
16.9,58.26,,,,,
17.0,58.26,,,,,
17.1,58.26,,,,,
17.2,58.26,,,,,
17.3,58.26,,,,,
17.4,58.26,,,,,
17.5,58.26,,,,,
17.6,58.26,,,,,
17.7,58.26,,,,,
17.8,58.26,,,,,
17.9,67.85,,,,,
18.0,67.85,,,,,
18.1,67.85,,,,,
18.2,67.85,,,,,
18.3,67.85,,,,,
18.4,67.85,,,,,
18.5,67.85,,,,,
18.6,67.85,,,,,
18.7,67.85,,,,,
18.8,67.85,,,,,
18.9,76.93,,,,,
19.0,76.93,,,,,
19.1,76.93,,,,,
19.2,76.93,,,,,
19.3,76.93,,,,,
19.4,76.93,,,,,
19.5,76.93,,,,,
19.6,76.93,,,,,
19.7,76.93,,,,,
19.8,76.93,,,,,
19.9,85.64,,,,,
20.0,85.64,,,,,
20.1,85.64,,,,,
20.2,85.64,,,,,
20.3,85.64,,,,,
20.4,85.64,,,,,
20.5,85.64,,,,,
20.6,85.64,,,,,
20.7,85.64,,,,,
20.8,85.64,,,,,
20.9,85.64,,,,,
21.0,94.92,,,,,
21.1,94.92,,,,,
21.2,94.92,,,,,
21.3,94.92,,,,,
21.4,94.92,,,,,
21.5,94.92,,,,,
21.6,94.92,,,,,
21.7,94.92,,,,,
21.8,94.92,,,,,
21.9,94.92,,,,,
22.0,93.82,,,,,
22.1,94.73,,,,,
22.2,93.86,,,,,
22.3,94.02,,,,,
22.4,93.81,,,,,
22.5,94.03,,,,,
22.6,94.64,,,,,
22.7,93.40,,,,,
22.8,93.42,,,,,
22.9,94.46,,,,,
23.0,93.44,,,,,
23.1,93.96,,,,,
23.2,94.75,,,,,
23.3,94.46,,,,,
23.4,94.11,,,,,
23.5,94.02,,,,,
23.6,94.29,,,,,
23.7,94.60,,,,,
23.8,93.64,,,,,
23.9,93.92,,,,,
24.0,94.50,,,,,
24.1,94.13,,,,,
24.2,93.64,,,,,
24.3,94.30,,,,,
24.4,94.21,,,,,
24.5,93.76,,,,,
24.6,93.86,,,,,
24.7,94.36,,,,,
24.8,94.33,,,,,
24.9,94.38,,,,,
25.0,94.15,,,,,
25.1,94.51,,,,,
25.2,93.69,,,,,
25.3,93.92,,,,,
25.4,93.98,,,,,
25.5,93.95,,,,,
25.6,93.77,,,,,
25.7,94.28,,,,,
25.8,94.26,,,,,
25.9,94.09,,,,,
26.0,94.18,,,,,
26.1,94.12,,,,,
26.2,94.17,,,,,
26.3,94.17,,,,,
26.4,93.62,,,,,
26.5,93.63,,,,,
26.6,93.57,,,,,
26.7,93.81,,,,,
26.8,93.96,,,,,
26.9,93.86,,,,,
27.0,93.79,,,,,
27.1,94.25,,,,,
27.2,93.76,,,,,
27.3,94.22,,,,,
27.4,93.98,,,,,
27.5,94.18,,,,,
27.6,93.95,,,,,
27.7,93.84,,,,,
27.8,94.31,,,,,
27.9,94.24,,,,,
28.0,93.76,,,,,
28.1,93.84,,,,,
28.2,94.23,,,,,
28.3,94.14,,,,,
28.4,94.27,,,,,
28.5,94.30,,,,,
28.6,94.30,,,,,
28.7,94.05,,,,,
28.8,93.71,,,,,
